t_utc,t_unix,t_sclk,t_tid,tid,orbit,focusmode,alt,mass,species,density_bins,quality
2015-02-11T22:02:10,1423692129.986139,476964107.872490,5220.353335,14934,717,csn,1.586923e+02,40,Ar,5.200000,IU
2015-02-11T22:02:18,1423692137.986862,476964115.873286,5228.353335,14934,717,csn,1.570911e+02,40,Ar,5.300000,IU
2015-02-11T22:02:28,1423692147.988138,476964125.874280,5238.353335,14934,717,csn,1.547938e+02,40,Ar,5.400000,IU
2015-02-11T22:02:36,1423692155.987997,476964133.875075,5246.353335,14934,717,csn,1.526206e+02,40,Ar,5.500000,IU
2015-02-11T22:02:42,1423692161.989157,476964139.875671,5252.353335,14934,717,csn,1.510195e+02,40,Ar,5.600000,IU
2015-02-11T22:02:50,1423692169.990205,476964147.876466,5260.353335,14934,717,csn,1.495003e+02,40,Ar,5.700000,IU
2015-02-11T21:58:30,1423691909.963785,476963887.850625,5000.353335,14934,717,csn,2.549301e+02,40,Ar,5.800000,IU
2015-02-11T21:59:04,1423691943.967196,476963921.854004,5034.353335,14934,717,csn,2.392663e+02,40,Ar,5.900000,IU
2015-02-11T21:59:08,1423691947.967775,476963925.854401,5038.353335,14934,717,csn,2.462380e+02,40,Ar,6.000000,IU
2015-02-11T21:58:28,1423691907.963163,476963885.850426,4998.353335,14934,717,csn,2.561319e+02,40,Ar,6.100000,IU
2015-02-11T21:58:26,1423691905.963232,476963883.850227,4996.353335,14934,717,csn,2.573393e+02,40,Ar,6.200000,IU
2015-02-11T21:58:24,1423691903.963234,476963881.850028,4994.353335,14934,717,csn,2.591614e+02,40,Ar,6.300000,IU
2015-02-11T21:58:20,1423691899.963139,476963877.849630,4990.353335,14934,717,csn,2.679062e+02,40,Ar,6.400000,IU
2015-02-11T21:58:18,1423691897.962344,476963875.849432,4988.353335,14934,717,csn,2.697748e+02,40,Ar,6.500000,IU
2015-02-11T21:58:14,1423691893.962259,476963871.849035,4984.353335,14934,717,csn,2.690140e+02,40,Ar,6.600000,IU
2015-02-11T21:57:52,1423691871.960350,476963849.846847,4962.353335,14934,717,csn,2.793543e+02,40,Ar,6.700000,IU
2015-02-11T21:57:48,1423691867.959317,476963845.846451,4958.353335,14934,717,csn,2.813175e+02,40,Ar,6.800000,IU
