t_utc,t_unix,t_sclk,t_tid,tid,orbit,exo_alt,mass,species,scale_height,scale_height_error,Temperature,Temperature_error,fit_residual,quality
2015-02-11T21:53:48,1423691627.935384,476963605.822596,4718.353335,14934,717,4.742493e+02,40,Ar,10.209657,6.949787,163.243776,111.121211,4878.450936,HI
2015-02-11T21:53:48,1423691627.935384,476963605.822596,4718.353335,14934,717,4.742493e+02,44,CO2,10.614978,3.438484,186.696974,60.476294,898.601002,HI
2015-02-11T21:53:48,1423691627.935384,476963605.822596,4718.353335,14934,717,4.742493e+02,28,N2,18.656148,3.976928,208.807221,44.511399,1312.772839,HI
2015-02-11T21:53:48,1423691627.935384,476963605.822596,4718.353335,14934,717,4.742493e+02,28,CO,18.126206,3.662288,208.807221,40.989823,1301.028967,HI
2015-02-11T21:53:48,1423691627.935384,476963605.822596,4718.353335,14934,717,4.742493e+02,16,O,23.618716,3.966412,151.057317,40.989823,1368.767971,HI
2015-02-11T21:53:48,1423691627.935384,476963605.822596,4718.353335,14934,717,4.742493e+02,4,He, , , , , ,na
