PDS_VERSION_ID               = PDS3
RECORD_TYPE                  = STREAM


OBJECT                       = TEXT
  INTERCHANGE_FORMAT         = ASCII
  PUBLICATION_DATE           = 2026-03-17
  NOTE                       = "List of data related events altering REMS 
                               regular acquisition cadence"
END_OBJECT                   = TEXT
END

The following table contains a list of dates and times with events
that may have an impact in the REMS regular acquisition cadence of 5
minutes every hour (due to reasons such as rover maintenance, REMS
powered off to not to conflict with other activities, tests, etc).

As part of those events, this table also shows the sols in which REMS
sensor underwent the following maintenance activities: GTS
calibration, HS regeneration, HS defrosting and PS calibration.

This table also reflects Humidity Sensor on/off tests and the beginning
of nominal use of the HS HRIM measurement strategy (for which the
tests were performed). Refer to catalogs for an explanation of this
strategy.

|  Sol | Event                                  | GTS | HS    | HS      | PS  |
| 1114 |                                        | X   |       |         |     |
| 1115 |                                        | X   | X     |         |     |
| 1116 |                                        | X   |       |         |     |
| 1118 |                                        | X   |       |         |     |
| 1119 |                                        | X   |       |         |     |
| 1120 |                                        | X   |       |         |     |
| 1121 |                                        | X   |       |         |     |
| 1122 |                                        | X   |       |         |     |
| 1125 |                                        | X   |       |         |     |
| 1126 |                                        |     | X     |         |     |
| 1136 |                                        |     | X     |         |     |
| 1145 |                                        |     | X     |         |     |
| 1146 | No wind data from 13:05 to 15:05       |     |       |         |     |
| 1147 | No wind data from 13:05 to 15:05       |     |       |         |     |
| 1148 | No wind data from 13:05 to 15:05       |     |       |         |     |
| 1149 | No wind data from 13:05 to 15:05       |     |       |         |     |
| 1150 | No wind data from 13:05 to 15:05       |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 1151 | No wind data from 13:05 to 15:05       |     |       |         |     |
| 1152 | No wind data from 13:05 to 15:05       |     |       |         |     |
| 1153 | No wind data from 13:05 to 15:05       |     |       |         |     |
| 1154 |                                        | X   |       |         |     |
| 1155 |                                        | X   |       |         |     |
| 1156 |                                        |     | X     |         |     |
| 1157 |                                        | X   |       |         |     |
| 1158 |                                        | X   |       |         |     |
| 1159 |                                        | X   |       |         |     |
| 1160 |                                        | X   |       |         | X   |
| 1161 |                                        |     |       |         | X   |
| 1162 |                                        | X   |       |         |     |
| 1167 |                                        |     | X     |         |     |
| 1169 |                                        | X   |       |         |     |
| 1170 |                                        | X   |       |         |     |
| 1171 |                                        | X   |       |         |     |
| 1176 |                                        | X   |       |         |     |
| 1189 |                                        |     | X     |         |     |
| 1195 |                                        |     | X     |         |     |
| 1197 |                                        | X   |       |         |     |
| 1199 |                                        | X   |       |         |     |
| 1200 |                                        | X   |       |         |     |
| 1203 |                                        | X   |       |         |     |
| 1204 |                                        | X   |       |         |     |
| 1205 |                                        | X   | X     |         |     |
| 1207 |                                        |     | X     |         |     |
| 1208 |                                        | X   |       |         |     |
| 1216 |                                        |     | X     |         |     |
| 1228 |                                        |     | X     |         |     |
| 1242 |                                        | X   | X     |         |     |
| 1244 |                                        | X   |       |         |     |
| 1246 |                                        | X   |       |         |     |
| 1247 |                                        | X   |       |         |     |
| 1248 |                                        | X   |       |         |     |
| 1251 |                                        | X   |       |         |     |
| 1252 |                                        | X   | X     |         |     |
| 1253 |                                        | X   |       |         |     |
| 1254 |                                        | X   |       |         |     |
| 1255 |                                        | X   |       |         |     |
| 1262 |                                        |     | X     |         |     |
| 1284 |                                        |     | X     |         |     |
| 1286 |                                        | X   |       |         |     |
| 1288 |                                        | X   |       |         |     |
| 1289 |                                        | X   |       |         |     |
| 1290 |                                        | X   |       |         |     |
| 1292 |                                        | X   |       |         |     |
| 1293 |                                        | X   |       |         |     |
| 1294 |                                        |     | X     |         |     |
| 1295 |                                        | X   |       |         |     |
| 1296 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 1299 |                                        | X   |       |         |     |
| 1300 |                                        | X   |       |         | X   |
| 1301 |                                        |     |       |         | X   |
| 1308 |                                        |     | X     |         |     |
| 1319 |                                        |     | X     |         |     |
| 1330 |                                        | X   |       |         |     |
| 1331 |                                        | X   |       |         |     |
| 1332 |                                        | X   | X     |         |     |
| 1334 |                                        | X   |       |         |     |
| 1335 |                                        | X   |       |         |     |
| 1337 |                                        | X   |       |         |     |
| 1338 |                                        | X   |       |         |     |
| 1340 |                                        | X   |       |         |     |
| 1341 |                                        | X   |       |         |     |
| 1342 |                                        |     | X     |         |     |
| 1351 |                                        |     | X     |         |     |
| 1361 |                                        |     | X     |         |     |
| 1371 |                                        | X   |       |         |     |
| 1372 |                                        | X   | X     |         |     |
| 1377 |                                        | X   |       |         |     |
| 1378 |                                        | X   |       |         |     |
| 1380 |                                        | X   |       |         |     |
| 1382 |                                        | X   | X     |         |     |
| 1383 |                                        | X   |       |         |     |
| 1386 |                                        | X   |       |         |     |
| 1388 |                                        | X   |       |         |     |
| 1389 | No activity since 02:50                |     |       |         |     |
| 1390 | No activity                            |     |       |         |     |
| 1391 | No activity                            |     |       |         |     |
| 1392 | No activity                            |     |       |         |     |
| 1393 | No activity                            |     |       |         |     |
| 1394 | No activity                            |     |       |         |     |
| 1395 | No activity                            |     |       |         |     |
| 1396 | No activity                            |     |       |         |     |
| 1397 | No activity                            |     |       |         |     |
| 1398 | No activity until 11:15                |     |       |         |     |
| 1405 |                                        |     | X     |         |     |
| 1415 |                                        |     | X     |         |     |
| 1419 |                                        |     |       |         | X   |
| 1420 |                                        | X   |       |         | X   |
| 1424 |                                        | X   |       |         |     |
| 1425 |                                        | X   |       |         |     |
| 1426 |                                        | X   |       |         |     |
| 1427 |                                        |     | X     |         |     |
| 1428 |                                        | X   |       |         |     |
| 1430 |                                        | X   |       |         |     |
| 1431 |                                        | X   |       |         |     |
| 1434 |                                        | X   |       |         |     |
| 1436 |                                        | X   |       |         |     |
| 1438 |                                        |     | X     |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 1439 |                                        | X   |       |         |     |
| 1440 |                                        | X   |       |         |     |
| 1447 |                                        |     | X     |         |     |
| 1457 |                                        |     | X     |         |     |
| 1468 |                                        |     | X     |         |     |
| 1472 |                                        | X   |       |         |     |
| 1473 |                                        | X   |       |         |     |
| 1474 |                                        | X   |       |         |     |
| 1475 |                                        | X   |       |         |     |
| 1476 |                                        | X   |       |         |     |
| 1478 |                                        | X   | X     |         |     |
| 1479 |                                        | X   |       |         |     |
| 1480 |                                        | X   |       |         |     |
| 1482 |                                        | X   |       |         |     |
| 1484 |                                        | X   |       |         |     |
| 1488 |                                        |     | X     |         |     |
| 1499 |                                        |     | X     |         |     |
| 1510 |                                        |     | X     |         |     |
| 1514 |                                        |     |       |         | X   |
| 1515 |                                        | X   |       |         | X   |
| 1516 |                                        | X   |       |         |     |
| 1517 |                                        | X   |       |         |     |
| 1519 |                                        |     | X     |         |     |
| 1520 |                                        | X   |       |         |     |
| 1521 |                                        | X   |       |         |     |
| 1522 |                                        | X   |       |         |     |
| 1523 |                                        | X   |       |         |     |
| 1524 |                                        | X   |       |         |     |
| 1526 |                                        | X   |       |         |     |
| 1527 |                                        | X   |       |         |     |
| 1529 |                                        |     | X     |         |     |
| 1538 |                                        |     | X     |         |     |
| 1549 |                                        |     | X     |         |     |
| 1556 |                                        |     | X     |         |     |
| 1567 |                                        |     | X     |         |     |
| 1575 |                                        | X   |       |         |     |
| 1576 |                                        | X   |       |         |     |
| 1577 |                                        | X   | X     |         |     |
| 1578 |                                        | X   |       |         |     |
| 1580 |                                        | X   |       |         |     |
| 1581 |                                        | X   |       |         |     |
| 1582 |                                        | X   |       |         |     |
| 1583 |                                        | X   |       |         |     |
| 1587 |                                        | X   |       |         |     |
| 1588 |                                        | X   | X     |         |     |
| 1598 |                                        |     | X     |         |     |
| 1600 | No data at 19:00-20:05                 |     |       |         |     |
| 1601 | No data at 04:00-07:05, 08:00-14:00    |     |       |         |     |
| 1608 |                                        |     | X     |         |     |
| 1610 | No activity between 9:25-16:00,        |     |       |         |     |
|      | 18:00-23:00                            |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 1611 | No activity between 10:00-17:00,       |     |       |         |     |
|      | 19:00-23:00                            |     |       |         |     |
| 1612 | No activity between 0:00-12:00         |     |       |         |     |
| 1622 |                                        | X   |       |         |     |
| 1624 |                                        | X   | X     |         |     |
| 1626 |                                        | X   |       |         |     |
| 1628 |                                        | X   |       |         |     |
| 1629 |                                        | X   |       |         |     |
| 1630 |                                        | X   |       |         |     |
| 1632 |                                        | X   |       |         |     |
| 1633 |                                        | X   |       |         |     |
| 1634 |                                        | X   |       |         |     |
| 1635 |                                        | X   | X     |         |     |
| 1647 |                                        |     | X     |         |     |
| 1648 |                                        |     |       |         | X   |
| 1649 |                                        |     |       |         | X   |
| 1657 |                                        |     | X     |         |     |
| 1665 |                                        | X   |       |         |     |
| 1666 |                                        | X   |       |         |     |
| 1668 |                                        | X   |       |         |     |
| 1669 |                                        | X   |       |         |     |
| 1670 |                                        | X   |       |         |     |
| 1671 |                                        | X   |       |         |     |
| 1672 |                                        | X   | X     |         |     |
| 1674 |                                        | X   |       |         |     |
| 1676 |                                        | X   |       |         |     |
| 1677 |                                        | X   |       |         |     |
| 1695 |                                        |     | X     |         |     |
| 1703 |                                        |     | X     |         |     |
| 1710 |                                        | X   |       |         |     |
| 1711 |                                        | X   |       |         |     |
| 1713 |                                        |     | X     |         |     |
| 1714 |                                        | X   |       |         |     |
| 1716 |                                        | X   |       |         |     |
| 1717 |                                        | X   |       |         |     |
| 1719 |                                        | X   |       |         |     |
| 1720 |                                        | X   |       |         |     |
| 1722 |                                        | X   |       |         |     |
| 1723 |                                        | X   |       |         |     |
| 1725 |                                        | X   |       |         |     |
| 1727 |                                        |     | X     |         |     |
| 1739 |                                        |     | X     |         |     |
| 1751 |                                        |     | X     |         |     |
| 1758 | Solar Conjunction                      |     |       |         |     |
| 1759 | Solar Conjunction                      |     |       |         |     |
| 1760 | Solar Conjunction                      |     |       |         |     |
| 1761 | Solar Conjunction                      |     |       |         |     |
| 1762 | Solar Conjunction                      |     | X     |         |     |
| 1763 | Solar Conjunction                      |     |       |         |     |
| 1764 | Solar Conjunction                      |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 1765 | Solar Conjunction                      |     |       |         |     |
| 1766 | Solar Conjunction                      |     |       |         |     |
| 1767 | Solar Conjunction                      |     |       |         |     |
| 1768 | Solar Conjunction                      |     |       |         |     |
| 1769 | Solar Conjunction                      |     |       |         |     |
| 1770 | Solar Conjunction                      |     |       |         |     |
| 1771 | Solar Conjunction                      |     |       |         |     |
| 1772 | Solar Conjunction                      |     |       |         |     |
| 1773 | Solar Conjunction                      |     | X     |         |     |
| 1774 | Solar Conjunction                      |     |       |         |     |
| 1775 | Solar Conjunction                      |     |       |         |     |
| 1776 | Solar Conjunction                      |     |       |         |     |
| 1777 | Solar Conjunction                      |     |       |         |     |
| 1778 | Solar Conjunction                      |     |       |         |     |
| 1782 |                                        | X   |       |         |     |
| 1783 |                                        |     |       |         | X   |
| 1784 |                                        | X   |       |         | X   |
| 1785 |                                        |     | X     |         |     |
| 1787 |                                        | X   |       |         |     |
| 1789 |                                        | X   |       |         |     |
| 1790 |                                        | X   |       |         |     |
| 1791 |                                        | X   |       |         |     |
| 1792 |                                        | X   |       |         |     |
| 1794 |                                        | X   |       |         |     |
| 1795 |                                        | X   |       |         |     |
| 1796 |                                        | X   | X     |         |     |
| 1806 |                                        |     | X     |         |     |
| 1820 |                                        |     | X     |         |     |
| 1827 |                                        | X   |       |         |     |
| 1828 |                                        | X   |       |         |     |
| 1830 |                                        | X   | X     |         |     |
| 1831 |                                        | X   |       |         |     |
| 1833 |                                        | X   |       |         |     |
| 1834 |                                        | X   |       |         |     |
| 1836 |                                        | X   |       |         |     |
| 1837 |                                        | X   |       |         |     |
| 1842 |                                        | X   | X     |         |     |
| 1843 |                                        | X   |       |         |     |
| 1853 |                                        |     | X     |         |     |
| 1864 |                                        |     | X     |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 1871 |                                        |     |       |         | X   |
| 1870 |                                        |     |       |         | X   |
| 1872 |                                        |     | X     |         |     |
| 1875 |                                        | X   |       |         |     |
| 1876 |                                        | X   |       |         |     |
| 1877 |                                        | X   |       |         |     |
| 1878 |                                        | X   |       |         |     |
| 1879 |                                        | X   |       |         |     |
| 1881 |                                        | X   |       |         |     |
| 1883 |                                        |     | X     |         |     |
| 1886 |                                        | X   |       |         |     |
| 1887 |                                        | X   |       |         |     |
| 1888 |                                        | X   |       |         |     |
| 1889 |                                        | X   |       |         |     |
| 1893 |                                        |     | X     |         |     |
| 1903 |                                        |     | X     |         |     |
| 1913 |                                        |     | X     |         |     |
| 1921 |                                        | X   |       |         |     |
| 1922 |                                        | X   |       |         |     |
| 1923 |                                        | X   | X     |         |     |
| 1924 |                                        | X   |       |         |     |
| 1925 |                                        | X   |       |         |     |
| 1926 |                                        | X   |       |         |     |
| 1927 |                                        | X   |       |         |     |
| 1928 |                                        | X   |       |         |     |
| 1929 |                                        | X   |       |         |     |
| 1930 |                                        | X   |       |         |     |
| 1933 |                                        |     | X     |         |     |
| 1945 |                                        |     | X     |         |     |
| 1953 |                                        |     | X     |         |     |
| 1961 |                                        | X   |       |         |     |
| 1963 |                                        | X   | X     |         |     |
| 1964 |                                        | X   |       |         |     |
| 1965 |                                        | X   |       |         |     |
| 1966 |                                        | X   |       |         |     |
| 1969 |                                        | X   |       |         |     |
| 1971 |                                        | X   |       |         |     |
| 1973 |                                        | X   | X     |         |     |
| 1974 |                                        | X   |       |         |     |
| 1975 |                                        | X   |       |         |     |
| 1983 |                                        |     | X     |         |     |
| 1993 |                                        |     | X     |         |     |
| 2001 |                                        |     |       |         | X   |
| 2002 |                                        |     | X     |         | X   |
| 2005 |                                        | X   |       |         |     |
| 2006 |                                        | X   |       |         |     |
| 2007 |                                        | X   |       |         |     |
| 2008 |                                        | X   |       |         |     |
| 2009 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 2012 |                                        | X   |       |         |     |
| 2014 |                                        | X   | X     |         |     |
| 2015 |                                        | X   |       |         |     |
| 2017 |                                        | X   |       |         |     |
| 2028 |                                        |     | X     |         |     |
| 2038 |                                        |     | X     |         |     |
| 2048 |                                        | X   |       |         |     |
| 2049 |                                        | X   |       |         |     |
| 2050 |                                        | X   |       |         |     |
| 2051 |                                        |     | X     |         |     |
| 2052 |                                        | X   |       |         |     |
| 2053 |                                        | X   |       |         |     |
| 2055 |                                        | X   |       |         |     |
| 2056 |                                        | X   |       |         |     |
| 2057 |                                        | X   |       |         |     |
| 2058 |                                        | X   |       |         |     |
| 2061 |                                        | X   |       |         |     |
| 2062 |                                        |     | X     |         |     |
| 2072 |                                        |     | X     |         |     |
| 2082 |                                        |     | X     |         |     |
| 2090 |                                        | X   |       |         |     |
| 2091 |                                        | X   |       |         |     |
| 2092 |                                        |     | X     |         |     |
| 2093 |                                        | X   |       |         |     |
| 2096 |                                        | X   |       |         |     |
| 2097 |                                        | X   |       |         |     |
| 2100 |                                        | X   |       |         |     |
| 2101 |                                        |     | X     |         |     |
| 2105 |                                        | X   |       |         |     |
| 2106 |                                        | X   |       |         |     |
| 2108 |                                        | X   |       |         |     |
| 2109 |                                        | X   |       |         |     |
| 2113 |                                        |     | X     |         |     |
| 2123 |                                        |     | X     |         |     |
| 2126 |                                        |     |       |         | X   |
| 2127 |                                        |     |       |         | X   |
| 2134 |                                        |     | X     |         |     |
| 2139 |                                        | X   |       |         |     |
| 2142 |                                        | X   |       |         |     |
| 2143 |                                        | X   |       |         |     |
| 2144 |                                        |     | X     |         |     |
| 2145 |                                        | X   |       |         |     |
| 2150 |                                        | X   |       |         |     |
| 2153 |                                        | X   |       |         |     |
| 2154 |                                        | X   |       |         |     |
| 2155 |                                        |     | X     |         |     |
| 2156 |                                        | X   |       |         |     |
| 2166 |                                        |     | X     |         |     |
| 2175 | No activity from sol 2175M12:15        |     |       |         |     |
|      | to sol 2204M12:10                      |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 2204 |                                        | X   | X     |         |     |
| 2206 |                                        | X   |       |         |     |
| 2207 |                                        | X   |       |         |     |
| 2208 |                                        | X   |       |         |     |
| 2210 |                                        | X   |       |         |     |
| 2211 |                                        | X   |       |         |     |
| 2212 |                                        | X   |       |         |     |
| 2213 |                                        | X   |       |         |     |
| 2214 |                                        | X   | X     |         |     |
| 2215 |                                        | X   |       |         |     |
| 2216 |                                        | X   |       |         |     |
| 2224 |                                        |     |       |         | X   |
| 2225 |                                        |     | X     |         | X   |
| 2236 |                                        |     | X     |         |     |
| 2246 |                                        | X   |       |         |     |
| 2247 |                                        |     |       |         |     |
| 2248 |                                        | X   | X     |         |     |
| 2249 |                                        | X   |       |         |     |
| 2250 |                                        | X   |       |         |     |
| 2252 |                                        | X   |       |         |     |
| 2253 |                                        | X   |       |         |     |
| 2255 |                                        | X   |       |         |     |
| 2256 |                                        | X   |       |         |     |
| 2258 |                                        | X   | X     |         |     |
| 2259 |                                        | X   |       |         |     |
| 2262 | Data gaps near 11:38                   |     |       |         |     |
| 2265 | Data gaps near 03:10                   |     |       |         |     |
| 2268 |                                        |     | X     |         |     |
| 2278 |                                        |     | X     |         |     |
| 2288 |                                        |     | X     |         |     |
| 2289 |                                        | X   |       |         |     |
| 2297 |                                        | X   |       |         |     |
| 2298 |                                        | X   |       |         |     |
| 2300 |                                        |     | X     |         |     |
| 2301 |                                        | X   |       |         |     |
| 2302 |                                        | X   |       |         |     |
| 2303 |                                        | X   |       |         |     |
| 2304 |                                        | X   |       |         |     |
| 2307 |                                        | X   |       |         |     |
| 2309 |                                        | X   |       |         |     |
| 2310 |                                        | X   | X     |         |     |
| 2312 |                                        | X   |       |         |     |
| 2320 | No data from 19:13 to sol 233312:24    |     |       |         |     |
| 2338 |                                        |     | X     |         |     |
| 2339 | No data from 20:07 to sol2347M13:10    |     |       |         |     |
| 2350 |                                        | X   |       |         |     |
| 2351 |                                        | X   |       |         |     |
| 2352 |                                        | X   |       |         |     |
| 2353 |                                        | X   |       |         |     |
| 2356 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 2357 |                                        | X   |       |         |     |
| 2358 |                                        |     |       |         | X   |
| 2359 |                                        | X   |       |         | X   |
| 2361 |                                        | X   | X     |         |     |
| 2362 |                                        | X   |       |         |     |
| 2363 |                                        | X   |       |         |     |
| 2371 |                                        |     | X     |         |     |
| 2381 |                                        |     | X     |         |     |
| 2391 |                                        |     | X     |         |     |
| 2398 |                                        | X   |       |         |     |
| 2399 |                                        | X   |       |         |     |
| 2400 |                                        | X   |       |         |     |
| 2401 |                                        | X   |       |         |     |
| 2403 |                                        | X   |       |         |     |
| 2402 |                                        |     | X     |         |     |
| 2404 |                                        | X   |       |         |     |
| 2405 |                                        | X   |       |         |     |
| 2406 |                                        | X   |       |         |     |
| 2407 |                                        | X   |       |         |     |
| 2411 |                                        | X   |       |         |     |
| 2412 |                                        |     | X     |         |     |
| 2417 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2418 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2419 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2420 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2421 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2422 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2423 | Wind Sensor OFF data volume tests      |     | X     |         |     |
| 2424 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2432 |                                        |     | X     |         |     |
| 2435 | Missing some data near 07:10           |     |       |         |     |
| 2438 | Missing some data near 12:24           |     |       |         |     |
| 2445 |                                        |     | X     |         |     |
| 2446 |                                        | X   |       |         |     |
| 2447 |                                        | X   |       |         |     |
| 2448 |                                        | X   |       |         |     |
| 2449 |                                        | X   |       |         |     |
| 2451 |                                        | X   |       |         |     |
| 2452 |                                        | X   |       |         |     |
| 2453 |                                        | X   |       |         |     |
| 2454 |                                        | X   |       |         |     |
| 2455 |                                        | X   | X     |         |     |
| 2457 |                                        | X   |       |         |     |
| 2465 |                                        |     | X     |         |     |
| 2473 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2474 | Wind Sensor OFF data volume tests      |     |       |         |     |
| 2475 | Wind Sensor OFF data volume tests      |     | X     |         |     |
| 2482 |                                        |     |       |         | X   |
| 2483 |                                        |     |       |         | X   |
| 2486 |                                        |     | X     |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 2493 |                                        | X   |       |         |     |
| 2495 |                                        | X   |       |         |     |
| 2496 |                                        | X   | X     |         |     |
| 2497 |                                        | X   |       |         |     |
| 2499 |                                        | X   |       |         |     |
| 2500 |                                        | X   |       |         |     |
| 2501 |                                        | X   |       |         |     |
| 2502 |                                        | X   |       |         |     |
| 2503 |                                        | X   |       |         |     |
| 2507 |                                        |     | X     |         |     |
| 2508 | Solar Conjunction                      |     |       |         |     |
| 2509 | Solar Conjunction                      |     |       |         |     |
| 2500 | Solar Conjunction                      |     |       |         |     |
| 2511 | Solar Conjunction                      |     |       |         |     |
| 2512 | Solar Conjunction                      |     |       |         |     |
| 2513 | Solar Conjunction                      |     |       |         |     |
| 2514 | Solar Conjunction                      |     |       |         |     |
| 2515 | Solar Conjunction                      |     |       |         |     |
| 2516 | Solar Conjunction                      |     | X     |         |     |
| 2517 | Solar Conjunction                      |     |       |         |     |
| 2518 | Solar Conjunction                      |     |       |         |     |
| 2519 | Solar Conjunction                      |     |       |         |     |
| 2520 | Solar Conjunction                      |     |       |         |     |
| 2521 | Solar Conjunction                      |     |       |         |     |
| 2523 | Wind Sensor OFF data volume test       |     |       |         |     |
| 2524 | Wind Sensor OFF data volume test       |     |       |         |     |
| 2526 |                                        |     | X     |         |     |
| 2537 |                                        |     | X     |         |     |
| 2541 |                                        | X   |       |         |     |
| 2542 |                                        | X   |       |         |     |
| 2543 |                                        | X   |       |         |     |
| 2544 |                                        | X   |       |         |     |
| 2547 |                                        |     | X     |         |     |
| 2548 |                                        | X   |       |         |     |
| 2549 |                                        | X   |       |         |     |
| 2550 |                                        | X   |       |         |     |
| 2551 |                                        | X   |       |         |     |
| 2553 |                                        | X   |       |         |     |
| 2554 |                                        | X   |       |         |     |
| 2557 |                                        |     | X     |         |     |
| 2558 | Wind Sensor OFF at 15:00 from this     |     |       |         |     |
|      | point onwards to reduce data volume    |     |       |         |     |
| 2567 |                                        |     | X     |         |     |
| 2577 |                                        |     | X     |         |     |
| 2579 |                                        |     |       |         | X   |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 2580 |                                        |     |       |         | X   |
| 2587 |                                        |     | X     |         |     |
| 2589 |                                        | X   |       |         |     |
| 2590 | Wind Sensor ON after GTS cal           | X   |       |         |     |
| 2591 | Wind Sensor ON after GTS cal           | X   |       |         |     |
| 2592 | Wind Sensor ON after GTS cal           | X   |       |         |     |
| 2593 |                                        | X   |       |         |     |
| 2596 |                                        | X   |       |         |     |
| 2597 |                                        | X   | X     |         |     |
| 2598 |                                        | X   |       |         |     |
| 2599 |                                        | X   |       |         |     |
| 2602 |                                        | X   |       |         |     |
| 2606 |                                        |     | X     |         |     |
| 2627 |                                        |     | X     |         |     |
| 2636 |                                        |     | X     |         |     |
| 2639 |                                        | X   |       |         |     |
| 2641 |                                        | X   |       |         |     |
| 2643 |                                        | X   |       |         |     |
| 2644 |                                        | X   |       |         |     |
| 2645 |                                        | X   |       |         |     |
| 2646 |                                        | X   | X     |         |     |
| 2647 |                                        | X   |       |         |     |
| 2653 |                                        | X   |       |         |     |
| 2654 |                                        | X   |       |         |     |
| 2655 |                                        | X   |       |         |     |
| 2658 | Wind Sensor ON 2658M15:00-2659M12:05   |     |       |         |     |
| 2659 | Wind Sensor ON 2658M15:00-2659M12:05   |     |       |         |     |
| 2662 |                                        |     | X     |         |     |
| 2675 |                                        |     | X     |         |     |
| 2685 |                                        |     | X     |         |     |
| 2689 |                                        | X   |       |         |     |
| 2690 |                                        | X   |       |         |     |
| 2691 |                                        | X   |       |         |     |
| 2692 |                                        | X   |       |         |     |
| 2693 |                                        | X   |       |         |     |
| 2695 | Reached 100% memory at 09:44:30        | X   |       |         |     |
| 2696 |                                        | X   |       |         |     |
| 2697 | Reached 100% memory at 13:46:20        | X   | X     |         |     |
| 2698 |                                        | X   |       |         |     |
| 2699 |                                        | X   |       |         |     |
| 2707 | Reached 100% memory at 22:00           |     |       |         |     |
| 2712 |                                        |     | X     |         |     |
| 2713 |                                        |     |       |         | X   |
| 2714 |                                        |     |       |         | X   |
| 2721 | Missing some data near 08:02           |     |       |         |     |
| 2722 |                                        |     | X     |         |     |
| 2734 |                                        |     | X     |         |     |
| 2737 |                                        | X   |       |         |     |
| 2738 |                                        | X   |       |         |     |
| 2739 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 2740 |                                        | X   |       |         |     |
| 2741 |                                        | X   |       |         |     |
| 2742 |                                        | X   |       |         |     |
| 2743 |                                        | X   |       |         |     |
| 2744 |                                        | X   |       |         |     |
| 2745 |                                        | X   | X     |         |     |
| 2746 |                                        | X   |       |         |     |
| 2754 |                                        |     | X     |         |     |
| 2759 | Wind Sensor ON 2759M10:00-2760M09:05   |     |       |         |     |
| 2760 | Wind Sensor ON 2759M10:00-2760M09:05   |     |       |         |     |
| 2764 |                                        |     | X     |         |     |
| 2785 |                                        | X   |       |         |     |
| 2786 |                                        | X   |       |         |     |
| 2787 |                                        | X   |       |         |     |
| 2788 |                                        | X   |       |         |     |
| 2789 |                                        |     | X     |         |     |
| 2790 |                                        | X   |       |         |     |
| 2791 | Missing some data near 20:13           | X   |       |         |     |
| 2792 |                                        | X   |       |         |     |
| 2793 |                                        | X   |       |         |     |
| 2794 |                                        | X   |       |         |     |
| 2795 |                                        | X   |       |         |     |
| 2799 |                                        |     | X     |         |     |
| 2807 | No activity from 15:00 to 23:59        |     |       |         |     |
