PDS_VERSION_ID               = PDS3
RECORD_TYPE                  = STREAM


OBJECT                       = TEXT
  INTERCHANGE_FORMAT         = ASCII
  PUBLICATION_DATE           = 2026-03-17
  NOTE                       = "List of data related events altering REMS 
                               regular acquisition cadence"
END_OBJECT                   = TEXT
END

The following table contains a list of dates and times with events
that may have an impact in the REMS regular acquisition cadence of 5
minutes every hour (due to reasons such as rover maintenance, REMS
powered off to not to conflict with other activities, tests, etc).

As part of those events, this table also shows the sols in which REMS
sensor underwent the following maintenance activities: GTS
calibration, HS regeneration, HS defrosting and PS calibration.

This table also reflects Humidity Sensor on/off tests and the beginning
of nominal use of the HS HRIM measurement strategy (for which the
tests were performed). Refer to catalogs for an explanation of this
strategy.

|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|  254 | Solar Conjunction                      |     | X     |         |     |
|  255 | Solar Conjunction                      |     |       |         |     |
|  256 | Solar Conjunction                      |     |       |         |     |
|  257 | Solar Conjunction                      |     |       |         |     |
|  258 | Solar Conjunction                      |     |       |         |     |
|  259 | Solar Conjunction                      |     |       |         |     |
|  260 | Solar Conjunction                      |     |       |         |     |
|  261 | Solar Conjunction                      |     |       |         |     |
|  262 | No activity from 13:00                 |     |       |         |     |
|  263 | No activity                            |     |       |         |     |
|  264 | No activity                            |     |       |         |     |
|  265 | No activity                            |     |       |         |     |
|  266 | No activity                            |     |       |         |     |
|  267 | No activity from 00:00 to 13:00        |     |       |         |     |
|  269 |                                        |     | X     |         |     |
|  274 |                                        |     |       |         | X   |
|  275 |                                        | X   |       |         | X   |
|  276 |                                        | X   |       |         |     |
|  277 |                                        | X   |       |         |     |
|  278 |                                        | X   |       |         |     |
|  279 |                                        | X   |       |         |     |
|  280 |                                        | X   |       |         |     |
|  281 |                                        |     | X     |         |     |
|  282 |                                        | X   |       |         |     |
|  283 |                                        | X   |       |         |     |
|  284 |                                        | X   |       |         |     |
|  285 |                                        | X   |       |         |     |
|  289 |                                        |     | X     |         |     |
|  299 |                                        |     | X     |         |     |
|  309 |                                        |     | X     |         |     |
|  314 |                                        | X   |       |         |     |
|  315 |                                        | X   |       |         |     |
|  316 |                                        | X   |       |         |     |
|  317 |                                        | X   |       |         |     |
|  318 |                                        | X   |       |         |     |
|  319 |                                        | X   | X     |         |     |
|  320 |                                        | X   |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
|  321 |                                        | X   |       |         |     |
|  322 |                                        | X   |       |         |     |
|  323 |                                        | X   |       |         |     |
|  324 |                                        | X   |       |         |     |
|  329 |                                        |     | X     |         |     |
|  340 |                                        |     | X     |         |     |
|  348 | No activity from 18:01:57              |     |       |         |     |
|      | to 18:02:27                            |     |       |         |     |
|  349 | No activity from 11:33:50              |     | X     |         |     |
|      | to 13:05:00                            |     |       |         |     |
|  355 |                                        | X   |       |         |     |
|  357 |                                        | X   |       |         |     |
|  358 | No activity from 16:00 to 23:00        | X   |       |         |     |
|  359 | No activity                            |     |       |         |     |
|  360 | No activity                            |     |       |         |     |
|  361 | No activity                            |     |       |         |     |
|  362 | No activity                            |     |       |         |     |
|  363 | No activity                            |     |       |         |     |
|  364 | No activity                            |     |       |         |     |
|  365 | No activity from 00:00 to 11:00        |     |       |         |     |
|  366 |                                        |     | X     |         |     |
|  370 |                                        |     |       |         | X   |
|  371 |                                        |     |       |         | X   |
|  376 |                                        |     | X     |         |     |
|  386 |                                        | X   | X     |         |     |
|  387 |                                        | X   |       |         |     |
|  388 |                                        | X   |       |         |     |
|  392 |                                        | X   |       |         |     |
|  393 |                                        | X   |       |         |     |
|  394 |                                        | X   |       |         |     |
|  395 |                                        | X   |       |         |     |
|  396 |                                        | X   |       |         |     |
|  398 |                                        | X   | X     |         |     |
|  399 |                                        | X   |       |         |     |
|  408 |                                        |     | X     |         |     |
|  416 |                                        |     | X     |         |     |
|  426 |                                        |     | X     |         |     |
|  430 |                                        | X   |       |         |     |
|  431 |                                        | X   |       |         |     |
|  434 |                                        | X   |       |         |     |
|  435 |                                        | X   |       |         |     |
|  436 |                                        | X   | X     |         |     |
|  437 |                                        | X   |       |         |     |
|  438 |                                        | X   |       |         |     |
|  440 |                                        | X   |       |         |     |
|  441 |                                        | X   |       |         |     |
|  442 |                                        | X   |       |         |     |
|  444 | No activity from 11:00 to 23:00        |     |       |         |     |
|  445 | No activity                            |     |       |         |     |
|  446 | No activity                            |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
|  447 | No activity                            |     |       |         |     |
|  448 | No activity                            |     |       |         |     |
|  449 | No activity                            |     |       |         |     |
|  450 | No activity                            |     |       |         |     |
|  451 | No activity                            |     |       |         |     |
|  452 | No activity                            |     |       |         |     |
|  453 | No activity                            |     |       |         |     |
|  454 | No activity from 00:00 to 11:00        |     | X     |         |     |
|  457 | No activity from 12:00 to 23:00        |     |       |         |     |
|  458 | No activity                            |     |       |         |     |
|  459 | No activity                            |     |       |         |     |
|  460 | No activity                            |     |       |         |     |
|  461 | No activity                            |     |       |         |     |
|  462 | No activity from 00:00 to 11:00        |     |       |         |     |
|  464 |                                        |     | X     |         |     |
|  474 |                                        |     | X     |         |     |
|  478 | No activity from 14:00 to 23:00        |     |       |         |     |
|  479 | No activity                            |     |       |         |     |
|  480 | No activity                            |     |       |         |     |
|  481 | No activity                            |     |       |         |     |
|  482 | No activity                            |     |       |         |     |
|  483 | No activity                            |     |       |         |     |
|  484 | No activity                            |     |       |         |     |
|  485 | No activity from 00:00 to 11:00        | X   | X     |         |     |
|  486 |                                        | X   |       |         |     |
|  487 |                                        | X   |       |         |     |
|  488 |                                        | X   |       |         |     |
|  489 |                                        | X   |       |         |     |
|  490 |                                        | X   |       |         |     |
|  491 |                                        | X   |       |         |     |
|  492 |                                        | X   |       |         |     |
|  493 |                                        | X   |       |         |     |
|  494 |                                        | X   |       |         |     |
|  495 |                                        |     | X     |         |     |
|  505 |                                        |     | X     |         |     |
|  508 |                                        |     |       |         | X   |
|  509 |                                        |     |       |         | X   |
|  516 |                                        |     | X     |         |     |
|  521 |                                        | X   |       |         |     |
|  522 |                                        | X   |       |         |     |
|  524 |                                        | X   |       |         |     |
|  525 |                                        | X   |       |         |     |
