   -178.0000000,      -88.0000010,      0.176937
   -178.0000000,      -84.0000010,      0.171758
   -178.0000000,      -80.0000010,      0.190148
   -178.0000000,      -76.0000010,      0.215788
   -178.0000000,      -72.0000010,      0.227691
   -178.0000000,      -68.0000010,      0.261947
   -178.0000000,      -64.0000010,      0.328452
   -178.0000000,      -60.0000010,      0.451248
   -178.0000000,      -56.0000010,      0.589124
   -178.0000000,      -52.0000010,      0.685475
   -178.0000000,      -48.0000010,      0.767186
   -178.0000000,      -44.0000010,      0.753344
   -178.0000000,      -40.0000000,      0.724804
   -178.0000000,      -36.0000000,      0.639261
   -178.0000000,      -32.0000000,      0.600495
   -178.0000000,      -28.0000000,      0.584259
   -178.0000000,      -24.0000000,      0.570841
   -178.0000000,      -20.0000000,      0.524036
   -178.0000000,      -16.0000000,      0.504943
   -178.0000000,      -12.0000000,      0.516990
   -178.0000000,       -8.0000001,      0.519179
   -178.0000000,       -4.0000000,      0.515286
   -178.0000000,        0.0000000,      0.544429
   -178.0000000,        4.0000000,      0.608380
   -178.0000000,        8.0000001,      0.647459
   -178.0000000,       12.0000000,      0.645128
   -178.0000000,       16.0000000,      0.635965
   -178.0000000,       20.0000000,      0.638034
   -178.0000000,       24.0000000,      0.624722
   -178.0000000,       28.0000000,      0.614496
   -178.0000000,       32.0000000,      0.596013
   -178.0000000,       36.0000000,      0.581807
   -178.0000000,       40.0000000,      0.573094
   -178.0000000,       44.0000010,      0.562716
   -178.0000000,       48.0000010,      0.548689
   -178.0000000,       52.0000010,      0.491781
   -178.0000000,       56.0000010,      0.446549
   -178.0000000,       60.0000010,      0.435985
   -178.0000000,       64.0000010,      0.430670
   -178.0000000,       68.0000010,      0.443947
   -178.0000000,       72.0000010,      0.453994
   -178.0000000,       76.0000010,      0.498377
   -178.0000000,       80.0000010,      0.540411
   -178.0000000,       84.0000010,      0.550912
   -178.0000000,       88.0000010,      0.559168
   -174.0000000,      -88.0000010,      0.184300
   -174.0000000,      -84.0000010,      0.175948
   -174.0000000,      -80.0000010,      0.186142
   -174.0000000,      -76.0000010,      0.208493
   -174.0000000,      -72.0000010,      0.226674
   -174.0000000,      -68.0000010,      0.261643
   -174.0000000,      -64.0000010,      0.333686
   -174.0000000,      -60.0000010,      0.476211
   -174.0000000,      -56.0000010,      0.626489
   -174.0000000,      -52.0000010,      0.736834
   -174.0000000,      -48.0000010,      0.778527
   -174.0000000,      -44.0000010,      0.759284
   -174.0000000,      -40.0000000,      0.725584
   -174.0000000,      -36.0000000,      0.653912
   -174.0000000,      -32.0000000,      0.615118
   -174.0000000,      -28.0000000,      0.592436
   -174.0000000,      -24.0000000,      0.582655
   -174.0000000,      -20.0000000,      0.531715
   -174.0000000,      -16.0000000,      0.501550
   -174.0000000,      -12.0000000,      0.492054
   -174.0000000,       -8.0000001,      0.499876
   -174.0000000,       -4.0000000,      0.503102
   -174.0000000,        0.0000000,      0.547026
   -174.0000000,        4.0000000,      0.592968
   -174.0000000,        8.0000001,      0.629963
   -174.0000000,       12.0000000,      0.634877
   -174.0000000,       16.0000000,      0.644624
   -174.0000000,       20.0000000,      0.659257
   -174.0000000,       24.0000000,      0.647349
   -174.0000000,       28.0000000,      0.630176
   -174.0000000,       32.0000000,      0.604728
   -174.0000000,       36.0000000,      0.583491
   -174.0000000,       40.0000000,      0.576114
   -174.0000000,       44.0000010,      0.561501
   -174.0000000,       48.0000010,      0.550394
   -174.0000000,       52.0000010,      0.490168
   -174.0000000,       56.0000010,      0.441275
   -174.0000000,       60.0000010,      0.420084
   -174.0000000,       64.0000010,      0.414062
   -174.0000000,       68.0000010,      0.422237
